power.draw [W], utilization.gpu [%], utilization.memory [%]
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
54.22 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
55.15 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
54.35 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
53.83 W, 7 %, 0 %
